GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialMaritime,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialAviation,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,NationalLocation,25,518,6,24,4,94,6,19,0,10
fgb-decoder,au.gov.amsa.fgb.internal,UserSpare,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationAircraftAddress,0,15,0,0,0,4,0,2,0,2
fgb-decoder,au.gov.amsa.fgb.internal,UserSpareOrTestBase,0,23,0,0,0,5,0,2,0,2
fgb-decoder,au.gov.amsa.fgb.internal,DecodeAsJson,0,202,2,16,0,36,2,13,0,6
fgb-decoder,au.gov.amsa.fgb.internal,UserNational,0,35,0,0,0,5,0,2,0,2
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationELT,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,Unknown,0,27,0,0,0,8,0,4,0,4
fgb-decoder,au.gov.amsa.fgb.internal,Util,0,141,0,2,0,15,0,4,0,3
fgb-decoder,au.gov.amsa.fgb.internal,BeaconProtocol,29,1422,8,66,3,275,8,76,0,47
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialSpareBase,1,67,2,6,0,14,2,5,0,3
fgb-decoder,au.gov.amsa.fgb.internal,JsonType,0,44,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialAircraftOperator,0,63,0,0,0,10,0,3,0,3
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationELTOrEpirbOrPLBBase,0,23,0,0,0,5,0,2,0,2
fgb-decoder,au.gov.amsa.fgb.internal,Decoder,0,25,0,2,0,8,0,3,0,2
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialAviationOrPersonalOrMaritimeBase,4,29,1,1,1,8,1,3,0,3
fgb-decoder,au.gov.amsa.fgb.internal,UserOrbitography,63,154,6,6,6,25,6,3,0,3
fgb-decoder,au.gov.amsa.fgb.internal,Conversions,207,2170,29,71,21,434,22,40,0,12
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialMaritimeNonFloatFree,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationAircraftOperator,0,23,0,0,0,5,0,2,0,2
fgb-decoder,au.gov.amsa.fgb.internal,Common.Position,0,27,0,0,0,8,0,5,0,5
fgb-decoder,au.gov.amsa.fgb.internal,LocationReserved,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,UserAviation,9,62,2,2,1,13,2,4,0,4
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationShipMMSI,0,23,0,0,0,5,0,2,0,2
fgb-decoder,au.gov.amsa.fgb.internal,UserAviationOrMaritimeOrRadioCallsign,0,141,0,8,0,25,0,9,0,5
fgb-decoder,au.gov.amsa.fgb.internal,Debug,12,183,4,8,3,37,4,9,0,7
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialMaritimeFloatFree,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,LocationSpare,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,LocationReservedOrSpare,0,197,0,8,0,32,0,9,0,5
fgb-decoder,au.gov.amsa.fgb.internal,User,49,513,9,29,12,92,9,27,2,15
fgb-decoder,au.gov.amsa.fgb.internal,HexAttribute,0,98,0,0,0,34,0,10,0,10
fgb-decoder,au.gov.amsa.fgb.internal,NationalLocationMaritime,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationBase,0,201,0,10,0,34,0,8,0,3
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialAircraftAddress,0,43,0,0,0,8,0,3,0,3
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocation,0,363,0,18,0,71,0,19,0,10
fgb-decoder,au.gov.amsa.fgb.internal,UserMaritime,16,82,2,4,1,19,2,4,0,3
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationPLB,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialSpare,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,AttributeType,0,841,0,0,0,80,0,5,0,5
fgb-decoder,au.gov.amsa.fgb.internal,ReturnLinkServiceLocation,22,721,8,56,5,125,8,44,0,20
fgb-decoder,au.gov.amsa.fgb.internal,UserBase,0,61,1,3,0,13,1,3,0,2
fgb-decoder,au.gov.amsa.fgb.internal,NationalLocationSpare,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,NationalLocationAviation,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,NationalLocationTest,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationShipSecurityAlertSystem,0,55,0,2,0,10,0,4,0,3
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialAircraftBase,0,125,0,4,0,22,0,5,0,3
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationTest,25,141,3,7,3,25,3,4,0,2
fgb-decoder,au.gov.amsa.fgb.internal,StandardLocationEpirb,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialPersonal,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,UserTest,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,Common,21,512,5,23,3,92,4,24,0,10
fgb-decoder,au.gov.amsa.fgb.internal,UserSerial,9,411,1,17,1,73,1,27,0,19
fgb-decoder,au.gov.amsa.fgb.internal,HexDecoder,0,63,0,4,0,15,0,8,0,6
fgb-decoder,au.gov.amsa.fgb.internal,UserRadioCallsign,52,274,7,17,4,38,7,8,0,3
fgb-decoder,au.gov.amsa.fgb.internal,UserSerialSpare2,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb.internal,NationalLocationPersonal,0,5,0,0,0,2,0,1,0,1
fgb-decoder,au.gov.amsa.fgb,Detection,15,0,2,0,3,0,2,0,1,0
fgb-decoder,au.gov.amsa.fgb,Beacon15HexId,15,0,2,0,3,0,2,0,1,0
